AGEGROUP,ageinmonths,PV,SR,GU,REFMNG,RELMNG,EL,TOTAL
1,53,24,0,3,8,4,2,41
1,49,19,0,6,1,4,0,30
1,52,22,5,7,0,2,0,36
1,48,16,2,11,0,0,1,30
1,51,19,0,10,2,0,0,31
1,49,17,0,9,0,0,1,27
1,53,25,0,5,8,4,3,45
1,49,22,1,8,2,5,0,38
1,52,23,5,10,1,3,1,43
1,48,18,3,12,2,0,2,37
1,51,21,1,12,4,1,0,40
1,49,20,0,11,0,2,2,35
1,49,21,0,8,4,1,0,34
1,52,24,10,5,11,6,3,59
1,52,23,2,0,15,4,0,44
1,53,23,0,10,4,3,4,41
1,48,14,0,3,12,0,0,29
1,50,20,1,8,4,2,0,35
1,50,18,0,7,0,0,0,25
1,50,19,0,9,3,0,0,31
1,53,24,0,10,12,0,1,47
1,51,12,0,5,3,0,0,20
1,52,25,8,1,0,0,2,36
1,51,19,0,6,1,4,0,30
1,49,17,6,1,14,15,0,53
1,51,21,3,9,3,3,0,39
1,53,4,0,0,5,2,0,11
1,48,20,0,8,8,10,0,46
1,49,18,0,0,0,1,1,20
1,51,21,1,11,0,0,2,35
1,52,21,0,9,6,3,0,39
1,49,10,2,7,3,0,0,22
1,49,12,0,10,0,0,0,22
1,50,15,5,5,0,0,0,20
1,50,7,0,3,0,1,2,13
1,51,19,0,8,6,3,0,36
1,48,21,0,7,5,3,0,36
1,49,18,0,8,0,0,0,26
1,50,22,0,10,0,0,0,32
1,51,21,0,7,2,1,0,31
1,50,18,0,6,0,0,0,24
1,49,16,0,9,0,0,0,25
1,50,18,0,7,0,0,0,25
1,51,17,0,8,0,0,0,25
1,52,21,0,9,0,0,0,30
1,53,18,1,8,3,2,1,33
1,50,18,0,6,2,0,0,26
1,50,19,0,8,3,1,0,31
1,52,21,2,10,3,2,2,40
1,52,21,3,11,3,3,3,44
2,57,24,0,11,11,3,4,53
2,59,25,0,13,14,3,0,55
2,55,21,4,12,2,0,0,39
2,54,22,0,7,8,1,2,40
2,57,22,1,10,13,1,0,47
2,57,21,0,5,9,6,2,43
2,57,25,1,13,11,5,5,60
2,59,26,2,12,14,4,1,59
2,55,23,6,12,3,2,0,46
2,54,24,0,6,10,3,4,47
2,57,23,2,11,14,2,3,55
2,57,22,2,6,11,7,5,53
2,56,24,0,11,11,3,4,53
2,56,25,0,13,14,3,0,55
